      Date        |         arcmap       |        arcpro        |     arcgis_online   |        qgis          |        postgis       |        postgre       |        portal        |      story maps      |      collector       |       survey123      |    web_application   |      enterprise     |        erdas         |    remote_sensing    |        python       |         sql         |    javascript_api    |        html          |       search_term     |
03/08/21 06:00:02 |          6           |          1           |          7           |          5           |          0           |          0           |          0           |          0           |          1           |          0           |          0           |          3           |          0           |          1           |          8           |          6           |          0           |          1           |       technician      |
03/08/21 06:00:21 |          3           |          2           |          8           |          7           |          0           |          5           |          4           |          1           |          2           |          1           |          2           |          16         |          0           |          5           |          25         |          23         |          0           |          1           |       specialist      |
03/08/21 06:00:35 |          6           |          0           |          10         |          2           |          1           |          2           |          2           |          2           |          2           |          0           |          0           |          10         |          1           |          2           |          16         |          11         |          0           |          2           |        analyst        |
03/08/21 06:00:49 |          5           |          1           |          13         |          3           |          1           |          6           |          10         |          0           |          1           |          0           |          6           |          19         |          1           |          1           |          18         |          24         |          4           |          3           |       developer       |
03/09/21 06:00:02 |          5           |          0           |          6           |          9           |          0           |          3           |          2           |          0           |          2           |          0           |          0           |          8           |          0           |          4           |          14         |          11         |          0           |          1           |       technician      |
03/09/21 06:00:16 |          3           |          2           |          10         |          7           |          0           |          5           |          4           |          1           |          3           |          2           |          4           |          11         |          0           |          5           |          23         |          26         |          0           |          0           |       specialist      |
03/09/21 06:00:30 |          4           |          1           |          10         |          10         |          1           |          5           |          3           |          0           |          3           |          3           |          2           |          10         |          1           |          5           |          20         |          16         |          0           |          1           |        analyst        |
03/09/21 06:00:45 |          4           |          2           |          12         |          2           |          2           |          7           |          11         |          3           |          4           |          0           |          7           |          27         |          1           |          1           |          27         |          30         |          7           |          5           |       developer       |
03/10/21 06:00:01 |          5           |          0           |          8           |          6           |          0           |          3           |          3           |          0           |          2           |          1           |          0           |          6           |          0           |          4           |          11         |          9           |          0           |          1           |       technician      |
03/10/21 06:00:19 |          3           |          2           |          10         |          7           |          0           |          5           |          4           |          1           |          3           |          2           |          4           |          9           |          0           |          5           |          22         |          26         |          0           |          0           |       specialist      |
03/10/21 06:00:32 |          4           |          0           |          8           |          6           |          0           |          3           |          3           |          0           |          1           |          0           |          0           |          5           |          0           |          5           |          11         |          24         |          0           |          0           |        analyst        |
03/10/21 06:00:46 |          2           |          1           |          12         |          1           |          1           |          5           |          8           |          3           |          3           |          0           |          4           |          19         |          1           |          1           |          16         |          20         |          5           |          4           |       developer       |
